,cluster
ARHGAP24,37
ARHGAP25,171
ARHGAP26,198
ARHGAP27,10
ARHGAP28,68
ARHGAP29,159
ARHGAP30,125
ARHGAP31,174
ARHGAP32,79
ARHGAP33,120
ARHGAP35,105
ARHGAP36,132
ARHGAP4,187
ARHGAP44,5
ARHGAP45,115
ARHGAP5,157
ARHGAP6,23
ARHGAP8,98
ARHGAP9,195
ARHGDIA,73
ARHGDIB,169
ARHGDIG,26
ARHGEF1,167
ARHGEF10,7
ARHGEF10L,169
ARHGEF11,132
ARHGEF12,29
ARHGEF15,2
ARHGEF16,96
ARHGEF17,139
ARHGEF18,48
ARHGEF19,175
ARHGEF2,7
ARHGEF25,186
ARHGEF26,55
ARHGEF28,155
ARHGEF3,60
ARHGEF35,97
ARHGEF37,175
ARHGEF38,138
ARHGEF39,176
ARHGEF40,125
ARHGEF5,141
ARHGEF6,177
ARHGEF7,152
ARHGEF9,138
ARID1A,90
ARID1B,90
ARID3A,179
ARID3B,199
ARID3C,176
ARID4A,157
ARID4B,110
ARID5A,189
ARID5B,37
ARIH1,159
ARIH2,108
ARK2C,186
ARK2N,172
ARL1,30
ARL10,74
ARL11,189
ARL13A,155
ARL13B,127
ARL14,199
ARL14EP,200
ARL14EPL,24
ARL15,165
ARL2,101
ARL3,157
ARL4A,38
ARL4C,78
ARL4D,14
ARL5A,38
ARL5B,113
ARL5C,123
ARL6,24
ARL6IP5,4
ARL8A,177
ARL8B,148
ARL9,136
ARMC10,126
ARMC12,178
ARMC3,38
ARMCX1,26
ARMCX2,14
ARMCX3,5
ARMCX4,178
ARMCX5,61
ARMCX6,118
ARNT,90
ARNT2,197
ARPC1A,34
ARPC1B,64
ARPC5,44
ARPC5L,51
ARPP19,33
ARPP21,26
ARR3,35
ARRB1,7
ARRB2,191
ARRDC1,78
ARRDC2,39
ARRDC3,157
ARRDC4,139
ARRDC5,3
ARSA,98
ARSB,49
ARSD,67
ARSF,166
ARSG,190
ARSH,167
ARSI,187
ARSJ,57
ARSK,24
ARSL,74
ART1,50
ART3,156
ART4,24
ART5,175
ARTN,185
